,Unnamed: 0,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1hour_ocean,ocean_proximity_inland,ocean_proximity_island,ocean_proximity_near_bay,ocean_proximity_near_ocean
59,59,-122.29,37.82,2.0,158,43,94,57,2.5625,60000.0,0,0,0,1,0
60,60,-122.29,37.83,52.0,1121,211,554,187,3.3929,75700.0,0,0,0,1,0
61,61,-122.29,37.82,49.0,135,29,86,23,6.1183,75000.0,0,0,0,1,0
62,62,-122.29,37.81,50.0,760,190,377,122,0.9011,86100.0,0,0,0,1,0
63,63,-122.3,37.81,52.0,1224,237,521,159,1.191,76100.0,0,0,0,1,0
64,64,-122.3,37.81,48.0,828,182,392,133,2.5938,73500.0,0,0,0,1,0
65,65,-122.3,37.81,52.0,1010,209,604,187,1.1667,78400.0,0,0,0,1,0
66,66,-122.3,37.81,48.0,1455,354,788,332,0.8056,84400.0,0,0,0,1,0
67,67,-122.29,37.8,52.0,1027,244,492,147,2.6094,81300.0,0,0,0,1,0
68,68,-122.3,37.81,52.0,572,109,274,82,1.8516,85000.0,0,0,0,1,0
69,69,-122.29,37.81,46.0,2801,644,1823,611,0.9802,129200.0,0,0,0,1,0
70,70,-122.29,37.81,26.0,768,152,392,127,1.7719,82500.0,0,0,0,1,0
71,71,-122.29,37.81,46.0,935,297,582,277,0.7286,95200.0,0,0,0,1,0
72,72,-122.29,37.81,49.0,844,204,560,152,1.75,75000.0,0,0,0,1,0
73,73,-122.29,37.81,46.0,12,4,18,7,0.4999,67500.0,0,0,0,1,0
74,74,-122.29,37.81,20.0,835,161,290,133,2.483,137500.0,0,0,0,1,0
75,75,-122.28,37.81,17.0,1237,462,762,439,0.9241,177500.0,0,0,0,1,0
76,76,-122.28,37.81,36.0,2914,562,1236,509,2.4464,102100.0,0,0,0,1,0
77,77,-122.28,37.81,19.0,1207,243,721,207,1.1111,108300.0,0,0,0,1,0
78,78,-122.29,37.81,23.0,1745,374,1054,325,0.8026,112500.0,0,0,0,1,0
79,79,-122.28,37.8,38.0,684,176,344,155,2.0114,131300.0,0,0,0,1,0
80,80,-122.28,37.81,17.0,924,289,609,289,1.5,162500.0,0,0,0,1,0
81,81,-122.27,37.81,52.0,210,56,183,56,1.1667,112500.0,0,0,0,1,0
82,82,-122.28,37.81,52.0,340,97,200,87,1.5208,112500.0,0,0,0,1,0
83,83,-122.28,37.81,52.0,386,164,346,155,0.8075,137500.0,0,0,0,1,0
84,84,-122.28,37.81,35.0,948,184,467,169,1.8088,118800.0,0,0,0,1,0
85,85,-122.28,37.81,52.0,773,143,377,115,2.4083,98200.0,0,0,0,1,0
86,86,-122.27,37.81,40.0,880,451,582,380,0.977,118800.0,0,0,0,1,0
87,87,-122.27,37.81,10.0,875,348,546,330,0.76,162500.0,0,0,0,1,0
88,88,-122.27,37.8,10.0,105,42,125,39,0.9722,137500.0,0,0,0,1,0
89,89,-122.27,37.8,52.0,249,78,396,85,1.2434,500001.0,0,0,0,1,0
90,90,-122.27,37.8,16.0,994,392,800,362,2.0938,162500.0,0,0,0,1,0
91,91,-122.28,37.8,52.0,215,87,904,88,0.8668,137500.0,0,0,0,1,0
92,92,-122.28,37.8,52.0,96,31,191,34,0.75,162500.0,0,0,0,1,0
93,93,-122.27,37.79,27.0,1055,347,718,302,2.6354,187500.0,0,0,0,1,0
94,94,-122.27,37.8,39.0,1715,623,1327,467,1.8477,179200.0,0,0,0,1,0
95,95,-122.26,37.8,36.0,5329,2477,3469,2323,2.0096,130000.0,0,0,0,1,0
96,96,-122.26,37.82,31.0,4596,1331,2048,1180,2.8345,183800.0,0,0,0,1,0
97,97,-122.26,37.81,29.0,335,107,202,91,2.0062,125000.0,0,0,0,1,0
98,98,-122.26,37.82,22.0,3682,1270,2024,1250,1.2185,170000.0,0,0,0,1,0
99,99,-122.26,37.82,37.0,3633,1085,1838,980,2.6104,193100.0,0,0,0,1,0
100,100,-122.25,37.81,29.0,4656,1414,2304,1250,2.4912,257800.0,0,0,0,1,0
101,101,-122.25,37.81,28.0,5806,1603,2563,1497,3.2177,273400.0,0,0,0,1,0
102,102,-122.25,37.81,39.0,854,242,389,228,3.125,237500.0,0,0,0,1,0
103,103,-122.25,37.81,52.0,2155,701,895,613,2.5795,350000.0,0,0,0,1,0
104,104,-122.26,37.81,34.0,5871,1914,2689,1789,2.8406,335700.0,0,0,0,1,0
105,105,-122.24,37.82,52.0,1509,225,674,244,4.9306,313400.0,0,0,0,1,0
106,106,-122.24,37.81,52.0,2026,482,709,456,3.2727,268500.0,0,0,0,1,0
107,107,-122.25,37.81,52.0,1758,460,686,422,3.1691,259400.0,0,0,0,1,0
108,108,-122.24,37.82,52.0,3481,751,1444,718,3.9,275700.0,0,0,0,1,0
109,109,-122.25,37.82,28.0,3337,855,1520,802,3.9063,225000.0,0,0,0,1,0
110,110,-122.25,37.82,52.0,1424,289,550,253,5.0917,262500.0,0,0,0,1,0
111,111,-122.25,37.82,32.0,3809,1098,1806,1022,2.6429,218500.0,0,0,0,1,0
112,112,-122.25,37.82,26.0,3959,1196,1749,1217,3.0233,255000.0,0,0,0,1,0
113,113,-122.25,37.83,52.0,2376,559,939,519,3.1484,224100.0,0,0,0,1,0
114,114,-122.25,37.83,35.0,1613,428,675,422,3.4722,243100.0,0,0,0,1,0
115,115,-122.25,37.83,52.0,1279,287,534,291,3.1429,231600.0,0,0,0,1,0
116,116,-122.25,37.83,28.0,5022,1750,2558,1661,2.4234,218500.0,0,0,0,1,0
117,117,-122.25,37.83,52.0,4190,1105,1786,1037,3.0897,234100.0,0,0,0,1,0
118,118,-122.23,37.84,50.0,2515,399,970,373,5.8596,327600.0,0,0,0,1,0
119,119,-122.23,37.84,47.0,3175,454,1098,485,5.2868,347600.0,0,0,0,1,0
120,120,-122.24,37.83,41.0,2576,406,794,376,5.956,366100.0,0,0,0,1,0
121,121,-122.24,37.85,37.0,334,54,98,47,4.9643,335000.0,0,0,0,1,0
122,122,-122.23,37.85,52.0,2800,411,1061,403,6.3434,373600.0,0,0,0,1,0
123,123,-122.24,37.84,52.0,3529,574,1177,555,5.1773,389500.0,0,0,0,1,0
124,124,-122.24,37.85,52.0,2612,365,901,367,7.2354,391100.0,0,0,0,1,0
125,125,-122.22,37.85,28.0,5287,1048,2031,956,5.457,337300.0,0,0,0,1,0
126,126,-122.22,37.84,50.0,2935,473,1031,479,7.5,295200.0,0,0,0,1,0
127,127,-122.21,37.84,44.0,3424,597,1358,597,6.0194,292300.0,0,0,0,1,0
128,128,-122.21,37.83,40.0,4991,674,1616,654,7.5544,411500.0,0,0,0,1,0
129,129,-122.2,37.84,30.0,2211,346,844,343,6.0666,311500.0,0,0,0,1,0
130,130,-122.21,37.84,34.0,3038,490,1140,496,7.0548,325900.0,0,0,0,1,0
131,131,-122.19,37.84,18.0,1617,210,533,194,11.6017,392600.0,0,0,0,1,0
132,132,-122.2,37.84,35.0,2865,460,1072,443,7.4882,319300.0,0,0,0,1,0
133,133,-122.21,37.83,34.0,5065,788,1627,766,6.8976,333300.0,0,0,0,1,0
134,134,-122.19,37.83,28.0,1326,184,463,190,8.2049,335200.0,0,0,0,1,0
135,135,-122.2,37.83,26.0,1589,223,542,211,8.401,351200.0,0,0,0,1,0
136,136,-122.19,37.83,29.0,1791,271,661,269,6.8538,368900.0,0,0,0,1,0
137,137,-122.19,37.82,32.0,1835,264,635,263,8.317,365900.0,0,0,0,1,0
138,138,-122.2,37.82,37.0,1229,181,420,176,7.0175,366700.0,0,0,0,1,0
139,139,-122.2,37.82,39.0,3770,534,1265,500,6.3302,362800.0,0,0,0,1,0
140,140,-122.18,37.81,30.0,292,38,126,52,6.3624,483300.0,0,0,0,1,0
141,141,-122.21,37.82,52.0,2375,333,813,350,7.0549,331400.0,0,0,0,1,0
142,142,-122.2,37.81,45.0,2964,436,1067,426,6.7851,323500.0,0,0,0,1,0
143,143,-122.21,37.8,50.0,2833,605,1260,552,2.8929,216700.0,0,0,0,1,0
144,144,-122.21,37.8,38.0,2254,535,951,487,3.0812,233100.0,0,0,0,1,0
145,145,-122.21,37.81,52.0,1389,212,510,224,5.2402,296400.0,0,0,0,1,0
146,146,-122.22,37.81,52.0,1971,335,765,308,6.5217,273700.0,0,0,0,1,0
147,147,-122.22,37.8,52.0,2183,465,1129,460,3.2632,227700.0,0,0,0,1,0
148,148,-122.22,37.8,52.0,2286,464,1073,441,3.0298,199600.0,0,0,0,1,0
149,149,-122.22,37.8,52.0,2721,541,1185,515,4.5428,239800.0,0,0,0,1,0
150,150,-122.22,37.81,52.0,2024,339,756,340,4.072,270100.0,0,0,0,1,0
151,151,-122.22,37.81,52.0,2944,536,1034,521,5.3509,302100.0,0,0,0,1,0
152,152,-122.23,37.8,52.0,2033,486,787,459,3.1603,269500.0,0,0,0,1,0
153,153,-122.23,37.81,52.0,1433,229,612,213,4.7708,314700.0,0,0,0,1,0
154,154,-122.22,37.81,52.0,2927,402,1021,380,8.1564,390100.0,0,0,0,1,0
155,155,-122.23,37.81,52.0,2315,292,861,258,8.8793,410300.0,0,0,0,1,0
156,156,-122.24,37.81,52.0,2485,313,953,327,6.8591,352400.0,0,0,0,1,0
157,157,-122.24,37.81,52.0,1490,238,634,256,6.0302,287300.0,0,0,0,1,0
158,158,-122.23,37.81,52.0,2814,365,878,352,7.508,348700.0,0,0,0,1,0
159,159,-122.24,37.81,52.0,2093,550,918,483,2.7477,243800.0,0,0,0,1,0
160,160,-122.24,37.8,52.0,888,168,360,175,2.1944,211500.0,0,0,0,1,0
161,161,-122.25,37.8,52.0,2087,510,1197,488,3.0149,218400.0,0,0,0,1,0
162,162,-122.24,37.81,52.0,2513,502,1048,518,3.675,269900.0,0,0,0,1,0
163,163,-122.25,37.81,46.0,3232,835,1373,747,3.225,218800.0,0,0,0,1,0
164,164,-122.25,37.8,42.0,4120,1065,1715,1015,2.9345,225000.0,0,0,0,1,0
165,165,-122.25,37.8,43.0,2364,792,1359,722,2.1429,250000.0,0,0,0,1,0
166,166,-122.25,37.8,41.0,1471,469,1062,413,1.6121,171400.0,0,0,0,1,0
167,167,-122.25,37.8,29.0,2468,864,1335,773,1.3929,193800.0,0,0,0,1,0
168,168,-122.24,37.79,27.0,1632,492,1171,429,2.3173,125000.0,0,0,0,1,0
169,169,-122.25,37.79,45.0,1786,526,1475,460,1.7772,97500.0,0,0,0,1,0
170,170,-122.25,37.79,50.0,629,188,742,196,2.6458,125000.0,0,0,0,1,0
171,171,-122.25,37.79,52.0,1339,391,1086,363,2.181,138800.0,0,0,0,1,0
172,172,-122.25,37.8,36.0,1678,606,1645,543,2.2303,116700.0,0,0,0,1,0
173,173,-122.25,37.8,43.0,2344,647,1710,644,1.6504,151800.0,0,0,0,1,0
174,174,-122.24,37.8,52.0,996,228,731,228,2.2697,127000.0,0,0,0,1,0
175,175,-122.24,37.8,52.0,1591,373,1118,347,2.1563,128600.0,0,0,0,1,0
176,176,-122.24,37.8,52.0,1586,398,1006,335,2.1348,140600.0,0,0,0,1,0
177,177,-122.24,37.8,47.0,2046,588,1213,554,2.6292,182700.0,0,0,0,1,0
178,178,-122.23,37.8,52.0,1192,289,772,257,2.3833,146900.0,0,0,0,1,0
179,179,-122.24,37.8,52.0,1803,420,1321,401,2.957,122800.0,0,0,0,1,0
180,180,-122.24,37.8,49.0,2838,749,1487,677,2.5238,169300.0,0,0,0,1,0
181,181,-122.23,37.8,52.0,783,184,488,186,1.9375,126600.0,0,0,0,1,0
182,182,-122.23,37.8,51.0,1590,414,949,392,1.9028,127900.0,0,0,0,1,0
183,183,-122.23,37.8,50.0,1746,480,1149,415,2.25,123500.0,0,0,0,1,0
184,184,-122.23,37.8,52.0,1252,299,844,280,2.3929,111900.0,0,0,0,1,0
185,185,-122.23,37.79,43.0,5963,1344,4367,1231,2.1917,112800.0,0,0,0,1,0
186,186,-122.23,37.79,52.0,1783,395,1659,412,2.9357,107900.0,0,0,0,1,0
187,187,-122.23,37.79,30.0,999,264,1011,263,1.8854,137500.0,0,0,0,1,0
188,188,-122.24,37.79,39.0,1469,431,1464,389,2.1638,105500.0,0,0,0,1,0
189,189,-122.24,37.79,47.0,1372,395,1237,303,2.125,95500.0,0,0,0,1,0
190,190,-122.24,37.79,52.0,674,180,647,168,3.375,116100.0,0,0,0,1,0
191,191,-122.24,37.79,43.0,1626,376,1284,357,2.2542,112200.0,0,0,0,1,0
192,192,-122.25,37.79,51.0,175,43,228,55,2.1,75000.0,0,0,0,1,0
193,193,-122.25,37.79,39.0,461,129,381,123,1.6,112500.0,0,0,0,1,0
194,194,-122.25,37.79,52.0,902,237,846,227,3.625,125000.0,0,0,0,1,0
195,195,-122.26,37.8,20.0,2373,779,1659,676,1.6929,115000.0,0,0,0,1,0
196,196,-122.22,37.77,52.0,391,128,520,138,1.6471,95000.0,0,0,0,1,0
197,197,-122.22,37.77,52.0,1137,301,866,259,2.59,96400.0,0,0,0,1,0
198,198,-122.23,37.77,52.0,769,206,612,183,2.57,72000.0,0,0,0,1,0
199,199,-122.23,37.78,52.0,472,146,415,126,2.6429,71300.0,0,0,0,1,0
200,200,-122.23,37.78,52.0,862,215,994,213,3.0257,80800.0,0,0,0,1,0
201,201,-122.22,37.78,50.0,1920,530,1525,477,1.4886,128800.0,0,0,0,1,0
202,202,-122.23,37.78,43.0,1420,472,1506,438,1.9338,112500.0,0,0,0,1,0
203,203,-122.23,37.78,52.0,986,258,1008,255,1.4844,119400.0,0,0,0,1,0
204,204,-122.23,37.78,44.0,2340,825,2813,751,1.6009,118100.0,0,0,0,1,0
205,205,-122.23,37.79,48.0,1696,396,1481,343,2.0375,122500.0,0,0,0,1,0
206,206,-122.23,37.79,49.0,1175,217,859,219,2.293,106300.0,0,0,0,1,0
207,207,-122.22,37.79,37.0,2343,574,1608,523,2.1494,132500.0,0,0,0,1,0
208,208,-122.23,37.79,30.0,610,145,425,140,1.6198,122700.0,0,0,0,1,0
209,209,-122.23,37.79,40.0,930,199,564,184,1.3281,113300.0,0,0,0,1,0
210,210,-122.22,37.79,44.0,1487,314,961,272,3.5156,109500.0,0,0,0,1,0
211,211,-122.22,37.79,52.0,3424,690,2273,685,3.9048,164700.0,0,0,0,1,0
212,212,-122.21,37.79,52.0,762,190,600,195,3.0893,125000.0,0,0,0,1,0
213,213,-122.22,37.79,46.0,2366,575,1647,527,2.6042,124700.0,0,0,0,1,0
214,214,-122.22,37.79,49.0,1826,450,1201,424,2.5,136700.0,0,0,0,1,0
215,215,-122.22,37.79,38.0,3049,711,2167,659,2.7969,141700.0,0,0,0,1,0
216,216,-122.2,37.79,29.0,1640,376,939,340,2.8321,150000.0,0,0,0,1,0
217,217,-122.21,37.79,47.0,1543,307,859,292,2.9583,138800.0,0,0,0,1,0
218,218,-122.21,37.79,34.0,2364,557,1517,516,2.8365,139200.0,0,0,0,1,0
219,219,-122.21,37.79,35.0,1745,409,1143,386,2.875,143800.0,0,0,0,1,0
220,220,-122.21,37.8,39.0,2003,500,1109,464,3.0682,156500.0,0,0,0,1,0
221,221,-122.21,37.8,39.0,2018,447,1221,446,3.0757,151000.0,0,0,0,1,0
222,222,-122.2,37.8,43.0,3045,499,1115,455,4.9559,273000.0,0,0,0,1,0
223,223,-122.2,37.8,52.0,1547,293,706,268,4.7721,217100.0,0,0,0,1,0
224,224,-122.21,37.8,52.0,3519,711,1883,706,3.4861,187100.0,0,0,0,1,0
225,225,-122.2,37.8,41.0,2070,354,804,340,5.1184,239600.0,0,0,0,1,0
226,226,-122.21,37.8,48.0,1321,263,506,252,4.0977,229700.0,0,0,0,1,0
227,227,-122.19,37.8,48.0,1694,259,610,238,4.744,257300.0,0,0,0,1,0
228,228,-122.19,37.8,46.0,1938,341,768,332,4.2727,246900.0,0,0,0,1,0
229,229,-122.19,37.79,50.0,968,195,462,184,2.9844,179900.0,0,0,0,1,0
230,230,-122.2,37.79,40.0,1060,256,667,235,4.1739,169600.0,0,0,0,1,0
231,231,-122.2,37.8,46.0,2041,405,1059,399,3.8487,203300.0,0,0,0,1,0
232,232,-122.19,37.8,52.0,1813,271,637,277,4.0114,263400.0,0,0,0,1,0
233,233,-122.19,37.79,45.0,2718,451,1106,454,4.6563,231800.0,0,0,0,1,0
234,234,-122.19,37.79,28.0,3144,761,1737,669,2.9297,140500.0,0,0,0,1,0
235,235,-122.2,37.79,35.0,1802,459,1009,390,2.3036,126000.0,0,0,0,1,0
236,236,-122.2,37.79,49.0,882,195,737,210,2.6667,122000.0,0,0,0,1,0
237,237,-122.2,37.79,44.0,1621,452,1354,491,2.619,134700.0,0,0,0,1,0
238,238,-122.21,37.79,45.0,2115,533,1530,474,2.4167,139400.0,0,0,0,1,0
239,239,-122.2,37.79,45.0,2021,528,1410,480,2.7788,115400.0,0,0,0,1,0
240,240,-122.21,37.78,46.0,2239,508,1390,569,2.7352,137300.0,0,0,0,1,0
241,241,-122.21,37.78,52.0,1477,300,1065,269,1.8472,137000.0,0,0,0,1,0
242,242,-122.21,37.78,52.0,1056,224,792,245,2.6583,142600.0,0,0,0,1,0
243,243,-122.21,37.78,49.0,898,244,779,245,3.0536,137500.0,0,0,0,1,0
244,244,-122.22,37.78,44.0,2968,710,2269,610,2.3906,111700.0,0,0,0,1,0
245,245,-122.21,37.78,43.0,1702,460,1227,407,1.7188,126800.0,0,0,0,1,0
246,246,-122.21,37.78,47.0,881,248,753,241,2.625,111300.0,0,0,0,1,0
247,247,-122.22,37.77,40.0,494,114,547,135,2.8015,114800.0,0,0,0,1,0
248,248,-122.22,37.78,50.0,1776,473,1807,440,1.7276,102300.0,0,0,0,1,0
249,249,-122.22,37.78,44.0,1678,514,1700,495,2.0801,131900.0,0,0,0,1,0
250,250,-122.22,37.78,51.0,1637,463,1543,393,2.489,119100.0,0,0,0,1,0
251,251,-122.21,37.76,52.0,1420,314,1085,300,1.7546,80600.0,0,0,0,1,0
252,252,-122.21,37.77,52.0,591,173,353,137,4.0904,80600.0,0,0,0,1,0
253,253,-122.21,37.77,52.0,745,153,473,149,2.6765,88800.0,0,0,0,1,0
254,254,-122.2,37.77,49.0,2272,498,1621,483,2.4338,102400.0,0,0,0,1,0
255,255,-122.21,37.77,46.0,1234,375,1183,354,2.3309,98700.0,0,0,0,1,0
256,256,-122.21,37.77,43.0,1017,328,836,277,2.2604,100000.0,0,0,0,1,0
257,257,-122.19,37.77,42.0,932,254,900,263,1.8039,92300.0,0,0,0,1,0
258,258,-122.2,37.77,39.0,2689,597,1888,537,2.2562,94800.0,0,0,0,1,0
259,259,-122.2,37.77,41.0,1547,415,1024,341,2.0562,102000.0,0,0,0,1,0
260,260,-122.2,37.78,52.0,2300,443,1225,423,3.5398,158400.0,0,0,0,1,0
261,261,-122.2,37.78,39.0,1752,399,1071,376,3.1167,121600.0,0,0,0,1,0
262,262,-122.2,37.78,50.0,1867,403,1128,378,2.5401,129100.0,0,0,0,1,0
263,263,-122.2,37.77,43.0,2430,502,1537,484,2.898,121400.0,0,0,0,1,0
264,264,-122.21,37.78,44.0,1729,414,1240,393,2.3125,102800.0,0,0,0,1,0
265,265,-122.19,37.78,52.0,1026,180,469,168,2.875,160000.0,0,0,0,1,0
266,266,-122.19,37.77,52.0,2170,428,1086,425,3.3715,143900.0,0,0,0,1,0
267,267,-122.19,37.77,52.0,2329,445,1144,417,3.5114,151200.0,0,0,0,1,0
268,268,-122.19,37.78,52.0,2492,415,1109,375,4.3125,164400.0,0,0,0,1,0
269,269,-122.19,37.78,52.0,2198,397,984,369,3.22,156500.0,0,0,0,1,0
270,270,-122.18,37.78,33.0,142,31,575,47,3.875,225000.0,0,0,0,1,0
271,271,-122.19,37.78,49.0,1183,205,496,209,5.2328,174200.0,0,0,0,1,0
272,272,-122.19,37.78,52.0,1070,193,555,190,3.7262,166900.0,0,0,0,1,0
273,273,-122.2,37.78,45.0,1766,332,869,327,4.5893,163500.0,0,0,0,1,0
274,274,-122.18,37.79,39.0,617,95,236,106,5.2578,253000.0,0,0,0,1,0
275,275,-122.18,37.79,41.0,1411,233,626,214,7.0875,240700.0,0,0,0,1,0
276,276,-122.18,37.79,46.0,2109,387,922,329,3.9712,208100.0,0,0,0,1,0
277,277,-122.19,37.79,47.0,1229,243,582,256,2.9514,198100.0,0,0,0,1,0
278,278,-122.19,37.79,50.0,954,217,546,201,2.6667,172800.0,0,0,0,1,0
279,279,-122.18,37.81,37.0,1643,262,620,266,5.4446,336700.0,0,0,0,1,0
280,280,-122.18,37.8,34.0,1355,195,442,195,6.2838,318200.0,0,0,0,1,0
281,281,-122.18,37.8,23.0,2317,336,955,328,6.7527,285800.0,0,0,0,1,0
282,282,-122.13,37.77,24.0,2459,317,916,324,7.0712,293000.0,0,0,0,1,0
283,283,-122.16,37.79,22.0,12842,2048,4985,1967,5.9849,371000.0,0,0,0,1,0
284,284,-122.17,37.78,42.0,1524,260,651,267,3.6875,157300.0,0,0,0,1,0
285,285,-122.17,37.77,30.0,3326,746,1704,703,2.875,135300.0,0,0,0,1,0
286,286,-122.18,37.78,43.0,1985,440,1085,407,3.4205,136700.0,0,0,0,1,0
287,287,-122.18,37.78,50.0,1642,322,713,284,3.2984,160700.0,0,0,0,1,0
288,288,-122.17,37.78,49.0,893,177,468,181,3.875,140600.0,0,0,0,1,0
289,289,-122.17,37.78,52.0,653,128,296,121,4.175,144000.0,0,0,0,1,0
290,290,-122.16,37.77,47.0,1256,537,570,218,4.375,161900.0,0,0,0,1,0
291,291,-122.16,37.77,48.0,977,194,446,180,4.7708,156300.0,0,0,0,1,0
292,292,-122.16,37.77,45.0,2324,397,968,384,3.5739,176000.0,0,0,0,1,0
293,293,-122.16,37.77,39.0,1583,349,857,316,3.0958,145800.0,0,0,0,1,0
294,294,-122.17,37.77,39.0,1612,342,912,322,3.3958,141900.0,0,0,0,1,0
295,295,-122.17,37.77,31.0,2424,533,1360,452,1.871,90700.0,0,0,0,1,0
296,296,-122.17,37.76,41.0,1594,367,1074,355,1.9356,90600.0,0,0,0,1,0
297,297,-122.17,37.76,47.0,2118,413,965,382,2.1842,107900.0,0,0,0,1,0
